CustomerID,R,F,M,label
12346,233.06804450975704,73023.71092669433,75129.33353988013,重要价值客户
12347,-90.17570549024296,1266.7109266943291,2255.7335398801265,重要保持客户
12348,-17.065288823576296,1149.7109266943291,-257.02646011987076,一般保持客户
12349,-73.92501104579851,-560.2890733056709,-296.7164601198708,一般发展客户
12350,217.81804450975704,-994.2890733056709,-1719.8664601198707,一般挽留客户
12352,-56.12362215690963,-655.2890733056709,451.7735398801301,重要发展客户
12353,111.74443339864592,-1171.2890733056709,-1965.2664601198708,一般挽留客户
12354,139.9361000653126,-661.2890733056709,-974.8664601198707,一般挽留客户
12355,121.9097111764237,-951.2890733056709,-1594.8664601198707,一般挽留客户
12356,-69.87570549024296,399.71092669432915,757.16353988013,重要保持客户
12357,-59.18612215690963,1516.7109266943291,4153.403539880126,重要保持客户
12358,-90.94931660135407,-943.2890733056709,-886.2064601198708,一般发展客户
12359,-35.04723326802074,430.71092669432915,4318.313539880135,重要保持客户
12360,-40.15487215690963,-26.289073305670854,607.7935398801296,重要发展客户
12361,194.90832228753482,-1100.2890733056709,-1864.3664601198707,一般挽留客户
12362,-89.16737215690964,1037.7109266943291,3171.9635398801324,重要保持客户
12363,17.056238954201483,-783.2890733056709,-1502.2664601198708,一般挽留客户
12364,-84.94653882357629,314.71092669432915,-741.1664601198706,一般保持客户
12365,198.89929450975703,-1017.2890733056709,-1412.8864601198707,一般挽留客户
12367,-88.21459437913185,-1018.2890733056709,-1885.3664601198707,一般发展客户
12370,-41.13334437913185,1161.7109266943291,1491.423539880127,重要保持客户
12371,-47.94237215690963,-600.2890733056709,-166.3064601198705,一般发展客户
12372,-21.022927712465187,-397.28907330567085,-756.2264601198706,一般发展客户
12373,218.93679450975705,-994.2890733056709,-1689.6664601198709,一般挽留客户
12374,-67.16528882357629,-849.2890733056709,-1311.336460119871,一般发展客户
12375,-81.95626104579851,-1013.2890733056709,-1596.7664601198708,一般发展客户
12377,222.82915562086814,-247.28907330567085,-426.1464601198711,一般挽留客户
12378,37.04512784309037,1337.7109266943291,1954.3535398801305,重要价值客户
12379,-10.93751104579852,-784.2890733056709,-1202.026460119871,一般发展客户
12380,-70.99167771246519,-64.28907330567085,670.5435398801292,重要发展客户
12381,-88.0451499346874,-383.28907330567085,-208.95646011987014,一般发展客户
12383,92.15068339864592,340.71092669432915,-203.70646011987105,一般价值客户
12384,-63.875011045798516,-1065.2890733056709,-1468.9964601198708,一般发展客户
12386,244.9597111764237,-837.2890733056709,-1652.3664601198707,一般挽留客户
12388,-77.03542771246518,270.71092669432915,726.3935398801295,重要保持客户
12390,-12.912511045798519,-838.2890733056709,-1504.4264601198709,一般发展客户
12391,-71.01945549024296,-891.2890733056709,-1593.376460119871,一般发展客户
12393,-20.168066601354074,-375.28907330567085,-471.6664601198704,一般发展客户
12394,-28.853483268020742,-372.28907330567085,-781.7864601198708,一般发展客户
12395,-73.15417771246518,926.7109266943291,964.363539880128,重要保持客户
12397,-56.92570549024296,71.71092669432915,355.6335398801298,重要保持客户
12398,-46.95001104579852,202.71092669432915,-418.6064601198709,一般保持客户
12399,26.933322287534814,-13.289073305670854,-945.6164601198707,一般挽留客户
12401,210.90901673197925,-1180.2890733056709,-1969.9664601198708,一般挽留客户
12402,230.9097111764237,-1097.2890733056709,-1828.6664601198709,一般挽留客户
12403,-42.966677712465184,-1095.2890733056709,-1626.5664601198707,一般发展客户
12405,56.1159611764237,-334.28907330567085,-343.8764601198702,一般挽留客户
12406,-70.32153882357629,626.7109266943291,1361.0335398801303,重要保持客户
12407,-42.938899934687406,224.71092669432915,-346.1464601198711,一般保持客户
12408,-60.033344379131854,217.71092669432915,834.2835398801299,重要保持客户
12409,-13.957649934687407,4359.710926694329,9018.403539880132,重要保持客户
12410,216.04165562086814,-980.2890733056709,-1360.9364601198708,一般挽留客户
12412,-17.94237215690963,-362.28907330567085,-827.3864601198709,一般发展客户
12413,-25.88959437913185,-905.2890733056709,-1296.1664601198709,一般发展客户
12414,124.86665562086814,-891.2890733056709,-1491.856460119871,一般挽留客户
12415,-68.11320549024296,76182.71092669433,122860.26353987987,重要保持客户
12417,-89.13403882357629,360.71092669432915,1594.8335398801291,重要保持客户
12418,20.021516731979258,-784.2890733056709,-1385.686460119871,一般挽留客户
12420,-28.88612215690963,-846.2890733056709,-1453.8764601198707,一般发展客户
12421,-76.89445549024296,-707.2890733056709,-1247.2264601198706,一般发展客户
12422,3.077072287534815,-821.2890733056709,-1250.7064601198708,一般挽留客户
12423,-91.93820549024296,147.71092669432915,-194.9564601198706,一般保持客户
12424,69.98123895420149,-451.28907330567085,-293.30646011987096,一般挽留客户
12425,-14.244455490242963,-695.2890733056709,-1277.066460119871,一般发展客户
12426,101.96735006531259,-933.2890733056709,-1471.5364601198708,一般挽留客户
12427,-70.88681660135407,-658.2890733056709,-1228.4664601198706,一般发展客户
12428,-66.86320549024296,2344.710926694329,5902.193539880132,重要保持客户
12429,-83.23820549024296,365.71092669432915,1696.1335398801302,重要保持客户
12430,-49.14584437913185,-1074.2890733056709,-1797.8664601198707,一般发展客户
12431,-57.01112215690963,1714.7109266943291,4433.183539880129,重要保持客户
12432,-50.002788823576296,609.7109266943291,3005.0535398801308,重要保持客户
12433,-91.9326499346874,9879.71092669433,11321.603539880121,重要保持客户
12434,-8.04098326802074,-797.2890733056709,-1248.126460119871,一般发展客户
12435,-12.893761045798518,863.7109266943291,5775.623539880127,重要保持客户
12436,6.9791556208681484,-980.2890733056709,-1545.2564601198708,一般挽留客户
12437,-90.99723326802074,1730.7109266943291,2897.1435398801264,重要保持客户
12438,-78.07570549024297,-11.289073305670854,852.5835398801296,重要发展客户
12441,274.0374889542015,-1070.2890733056709,-1880.7164601198708,一般挽留客户
12442,-89.11320549024296,-1009.2890733056709,-1882.2064601198708,一般发展客户
12444,-71.07223326802074,-38.289073305670854,2951.1935398801293,重要发展客户
12445,-70.29445549024297,-1129.2890733056709,-1920.8664601198707,一般发展客户
